codLinea,nombreLinea,observaciones,cabeceraIda,cabeceraVuelta,sentido,orden,codParada,nombreParada,direccion
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,1,152,Avda. de las Postas - Lorenza Correa,AV POSTAS S/N
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,2,153,Emilio Díaz,CL EMILIO DÍAZ  31
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,3,154,San Juan Bosco - Albeniz,CL SAN JUAN BOSCO Fte. 80
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,4,155,San Juan Bosco - Segalerva,CL SAN JUAN BOSCO 21
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,5,1354,Eduardo Domínguez Ávila,CL EDUARDO DOMINGUEZ AVILA 7
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,6,156,Plaza de Capuchinos,ALMD CAPUCHINOS 6
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,7,157,Alameda de Capuchinos - El Ejido,ALMD CAPUCHINOS 38
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,8,158,Alameda de Capuchinos,ALMD CAPUCHINOS 78
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,9,159,Cristo de la Epidemia - Fuente Olletas,CL CRISTO DE LA EPIDEMIA 93
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,10,160,Cristo de la Epidemia - Tejeros,CL CRISTO DE LA EPIDEMIA 49
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,11,161,Plaza de la Victoria,PL VICTORIA 16
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,12,170,Plaza de la Merced,PL MERCED Fte. 8
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,13,301,Paseo del Parque - Plaza del General Torrijos,PL GENERAL TORRIJOS 4
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,14,164,Paseo del Parque,PSO PARQUE  3
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,15,1803,Paseo del Parque - Plaza Marina,PSO DEL PARQUE 1
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,16,119,Alameda Principal - Norte,ALMD PRINCIPAL 10
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,17,305,Avda. de Andalucía - Hacienda,AV ANDALUCIA S/N
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,18,306,Cuarteles - Perchel,CL CUARTELES Fte. 1
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,19,307,Cuarteles - Eslava,CL CUARTELES 48
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,20,308,Héroe de Sostoa - Estación,CL HEROE DE SOSTOA 4
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,21,309,Héroe de Sostoa - La Isla,CL HEROE DE SOSTOA 56
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,22,310,Héroe de Sostoa - Jardín de la Abadía,CL HEROE DE SOSTOA 100
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,23,312,Héroe de Sostoa - Obras Públicas,CL HEROE DE SOSTOA 134
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,24,1202,Avda. de Europa - Bda. Dos Hermanas,AV.EUROPA 36
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,25,1203,Avda. de Europa - Bda. El Torcal,AV. EUROPA 52
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,26,1204,Avda. Europa - San Andrés 1ª Fase,AV. EUROPA 64
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,27,1205,Avda. Europa - Vistafranca,AV EUROPA 104
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,28,1206,Avda. de Europa - La Luz,AV. EUROPA 110
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,29,1207,Avda. Europa San Andrés - 2ª Fase,AV EUROPA 116
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,30,1209,Avda. de Europa - Camino Viejo de Churriana,AV EUROPA 124
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,31,1210,Av. Europa - Santa Bárbara,AV EUROPA S/N
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,1,32,1251,Polígono Santa Bárbara,GTA SANTA BARBARA 4
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,33,172,Hermanos Lumiere,Hermanos Lumiere 22
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,34,1261,Av. Europa - Santa Bárbara,AV EUROPA 151
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,35,1252,Avda. de Europa - Camino Viejo de Churriana,AV EUROPA 145
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,36,1253,Avda. de Europa - San Andrés 2ª Fase,AV EUROPA 123
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,37,1254,Avda. Europa - Vistafranca,AV EUROPA 113
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,38,1255,Avda. Europa - San Andrés 1ª Fase,AV EUROPA 93
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,39,1256,Avda. de Europa - Bda. El Torcal,AV EUROPA 75
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,40,1519,Avda. de la Paloma,AV PALOMA 41
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,41,357,Avda. de la Paloma - Bda. Girón,AV PALOMA 23
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,42,1259,La Hoz - Mercado  de Huelin,CL LA HOZ 37
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,43,360,Ayala - Jardín de la Abadía,CL AYALA 63
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,44,361,Ayala - Iglesia,CL AYALA Fte 62
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,45,362,Ayala - Los Arcos,CL AYALA 11
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,46,368,Salitre - Jacinto Verdaguer,CL SALITRE 43
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,47,364,Salitre - Pasillo del Matadero,CL SALITRE 9
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,48,253,Avda. de la Aurora - Correos,AV AURORA 4
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,49,171,Alameda Principal - Sur,ALMD PRINCIPAL 3
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,50,116,Paseo del Parque - Plaza de la Marina,PSO ESPAÑA 2
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,51,117,Paseo del Parque - Ayuntamiento,PSO ESPAÑA 6
1,Parque del Sur - Alameda Principal - San Andrés,Rec. Parada 1251 (Sta. Bárbara),Parque del Sur,San Andrés,2,52,1201,Paseo del Parque - Plaza del General Torrijos,PSO ESPAÑA 6
